EventId,EventName,EventDate,Age of entry,Seat price,Seats available,Details,OrgId,VenueId
1,Piyush Mishra Live In Concert,2022-03-29 18:30:00,21,1490.67,83,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,2,7
2,KARMA IS A JOKE,2021-12-06 20:30:00,18,434.04,470,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",3,2
3,Comic Con India – Bengaluru 2022,2022-04-05 15:30:00,0,1099.89,239,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus. Duis at velit eu est congue elementum.",5,4
4,Pet Fed Bengaluru 2022,2022-09-06 7:30:00,21,798.66,356,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis. Ut at dolor quis odio consequat varius.",3,1
5,KING - India Tour Bengaluru,2022-10-03 1:00:00,21,572.91,298,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1,10
6,VINI VICI Bangalore 2022,2022-11-24 6:00:00,0,1051.45,350,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,1,8
7,Flim Club at Lahe Lahe,2022-08-22 7:00:00,0,565.13,371,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,5,10
8,SOULFUL Music Night,2022-03-02 5:00:00,18,396.85,416,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2,1
9,Open Mic,2022-12-07 13:00:00,18,1037.73,341,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",3,3
10,Kannada stand up comedy,2021-11-26 10:00:00,0,946.04,233,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",4,4
11,Piyush Sharma Live,2022-12-06 22:30:00,21,1251.76,317,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,2,8
12,Bangalore Open Air 2023,2023-01-10 18:30:00,0,323.46,147,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,5,5
13,Painting for Kids,2022-11-29 6:30:00,0,656.61,281,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,5,10
14,Yash Rathi Live,2022-06-11 8:00:00,0,1426.65,154,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",1,7
15,Bhangra Night - JP Nagar,2022-06-30 9:00:00,21,328.33,227,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",3,7
